Timestamp,Age,Gender,Institution/college,How many hours do you study per week on average?,On how many days per week do you study consistently?,How much time do you spend on smartphone/social media daily?,"Smartphone_Time_Cleaned
",I feel stressed about my studies.,I often delay starting assignments or studying until the last moment.,Your current GPA / Academic performance,Procrastination_Label,,,,,Q
2/2/2026 15:53:33,20,1,Nawab Shah Alam Khan College of Engineering and Technology,13,13,4,,1,4,,1,,,,,
2/2/2026 15:53:57,21,0,Nawab Shah Alam Khan College of Engineering and Technology,7.5,7.5,2 hrs,2,3,3,,0,,,,,
2/2/2026 15:54:57,20,0,Muffakham Jah College of Engineering & Technology,7.5,7.5,4,,2,3,,0,,,,,
2/2/2026 15:55:21,22,1,Muffakham Jah College of Engineering & Technology,7.5,7.5,4,,4,4,,1,,,,,
2/2/2026 15:56:13,22,1,Muffakham Jah College of Engineering & Technology,7.5,7.5,2 hrs,2,3,3,,0,,,,,
2/2/2026 15:56:37,21,0,Muffakham Jah College of Engineering & Technology,7.5,7.5,5>,5,3,4,,1,,,,,
2/2/2026 15:57:26,21,0,Muffakham Jah College of Engineering & Technology,13,13,4,,4,4,,1,,,,,
2/2/2026 15:58:14,19,0,narayana jr clg,4,4,4,,3,1,,0,,,,,
2/2/2026 15:58:20,20,0,Muffakham Jah College of Engineering & Technology,7.5,7.5,Option 3,3,4,2,,0,,,,,
2/2/2026 15:58:47,21,0,Muffakham Jah College of Engineering & Technology,13,13,4,,3,5,,1,,,,,
2/2/2026 15:59:18,21,1,Deccan College Of Engineering & Technology,7.5,7.5,4,,4,4,,1,,,,,
2/2/2026 15:59:41,21,1,Deccan College Of Engineering & Technology,7.5,7.5,5>,5,3,3,,0,,,,,
2/2/2026 16:00:05,22,0,Deccan College Of Engineering & Technology,13,13,4,,3,4,,1,,,,,
2/2/2026 16:00:30,22,1,Deccan College Of Engineering & Technology,7.5,7.5,4,,3,5,,1,,,,,
2/2/2026 16:01:11,22,0,Deccan College Of Engineering & Technology,7.5,7.5,4,,5,4,,1,,,,,
2/2/2026 16:01:30,21,1,Deccan College Of Engineering & Technology,7.5,7.5,5>,5,4,4,,1,,,,,
2/2/2026 16:01:58,22,0,Deccan College Of Engineering & Technology,7.5,7.5,2 hrs,2,4,3,,0,,,,,
2/2/2026 16:02:24,21,1,Deccan College Of Engineering & Technology,13,13,2 hrs,2,3,3,,0,,,,,
2/2/2026 16:02:58,21,0,Deccan College Of Engineering & Technology,13,13,5>,5,4,4,,1,,,,,
2/2/2026 16:03:25,22,0,Deccan College Of Engineering & Technology,7.5,7.5,5>,5,4,4,,1,,,,,
2/2/2026 16:04:33,21,1,Deccan College Of Engineering & Technology,13,13,2 hrs,2,4,4,,1,,,,,
2/2/2026 16:04:57,21,0,Deccan College Of Engineering & Technology,13,13,4,,3,3,,0,,,,,
2/2/2026 16:07:55,22,1,ISL Engineering College,7.5,7.5,<1 hr,1,2,2,,0,,,,,
2/2/2026 16:08:35,22,0,ISL Engineering College,4,4,<1 hr,1,3,4,,1,,,,,
2/2/2026 16:09:02,22,1,ISL Engineering College,4,4,2 hrs,2,3,2,,0,,,,,
2/2/2026 16:09:36,22,0,ISL Engineering College,4,4,<1 hr,1,3,3,,0,,,,,
